==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
--------------------------------------------------------------------------------------------------
      0.00        117.6233        117.6231       -117.6231          0.0000         -0.2000          0.2000
      1.00         13.0908         13.0893         13.0893          0.0000         -0.2000          0.2000
      2.00         11.0090         11.0072         11.0072          0.0000         -0.2000          0.2000
      3.00          9.4530          9.8000          9.4000          0.0000          1.0000          1.0000
      4.00          8.4900          8.6000          8.2000          0.0000          2.2000          2.2000
      5.00          8.3762          8.6000          7.0000          0.0000          4.6000          4.6000
      6.00          8.5088          9.0000          7.8000          0.0000          3.4000          3.4000
      7.00          8.8408          9.8000          7.0000          0.0000          5.4000          5.4000
      8.00          9.4021         10.2000          8.2000          0.0000          4.6000          4.6000
      9.00          9.5708         10.2000          8.6000          0.0000          4.2000          4.2000
     10.00          9.4021          9.8000          8.2000          0.0000          4.6000          4.6000
     11.00          9.4021          9.8000          8.2000          0.0000          4.6000          4.6000 
     12.00          9.2650          9.8000          7.8000          0.0000          5.0000          5.0000
     13.00          9.1608          9.4000          7.4000          0.0000          5.4000          5.4000
     14.00          9.0907          9.4000          7.0000          0.0000          5.8000          5.8000
     15.00          9.0907          9.4000          7.0000          0.0000          5.8000          5.8000
     16.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
     17.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
     18.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
     19.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     20.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     21.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     22.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     23.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     24.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
     25.00          9.0377          9.4000          8.2000          0.0000          3.8000          3.8000
     26.00          9.0377          9.4000          8.2000          0.0000          3.8000          3.8000
     27.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
     28.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
     29.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
     30.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
     31.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
     32.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
     33.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
     34.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
     35.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
     36.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
     37.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
     38.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
     39.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
     40.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
     41.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     42.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     43.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     44.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     45.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     46.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     47.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     48.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     49.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     50.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     51.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     52.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     53.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     54.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     55.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     56.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     57.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     58.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     59.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
     60.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     61.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     62.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     63.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     64.00          8.6023          9.4000          7.0000          0.0000          5.0000          5.0000
     65.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     66.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     67.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     68.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     69.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     70.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     71.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     72.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     73.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
     74.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
